№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
436,data_for_algoritm_15489.json,А336,6550,3310,3010,1,65.2583,65.26,19.4,Спецтранспорт
437,data_for_algoritm_16159.json,G35421505 Ecophon Focus Ds XL 2000x600x20mm non-standard NCS color,2280,1290,2340,1,6.8824,6.88,18.0,Фургон
438,data_for_algoritm_15486.json,Мука MAKFA пшеничная вс 2кг,390,215,200,1,0.0168,0.02,12.03,Европаллета
439,data_for_algoritm_15482.json,Пиво EFES Pilsener СвПаст 5% ст 0.45L,350,272,251,1,0.0239,0.02,14.65,Европаллета
440,data_for_algoritm_15451.json,Изд слоен DELISSE Штрудельки с ябл. 315г,255,175,45,1,0.002,0.0,0.38,Европаллета
441,data_for_algoritm_14942.json,RM600AMKII-C,530,410,310,5,0.0674,0.34,40.0,Европаллета
442,data_for_algoritm_15159.json,Макароны ШЕБЕКИНСКИЕ Рожок №202 450г,300,135,280,1,0.0113,0.01,1.0,Европаллета
443,data_for_algoritm_15503.json,А144,2400,1650,900,1,3.564,3.56,610.0,Фургон
444,data_for_algoritm_17168.json,УПАКОВКА ЛЕСТНИЦЫ В ПРИЯМОК,2700,285,30,2,0.0231,0.05,22.0,Европаллета
445,data_for_algoritm_15215.json,К55 216 ДУБ СФР,2200,175,250,3,0.0963,0.29,42.0,Европаллета
446,data_for_algoritm_17077.json,6. Упаковка электропроводки №1,450,400,400,1,0.072,0.07,25.0,Европаллета
447,data_for_algoritm_16899.json,Лапша бп ДОШИРАК со вкусом курицы 90г,475,275,225,1,0.0294,0.03,3.0,Европаллета
448,data_for_algoritm_15481.json,А279,4700,2330,1830,1,20.0403,20.04,390.0,Фура 13.6 м
449,data_for_algoritm_16799.json,6,1200,800,1250,32,1.2,38.4,11.52,Фура 13.6 м
450,data_for_algoritm_17198.json,28. (R05W) Упаковка ограждений на крыше,870,60,745,1,0.0389,0.04,9.0,Европаллета
451,data_for_algoritm_16878.json,А21,1100,950,1100,1,1.1495,1.15,350.0,Европаллета
452,data_for_algoritm_15503.json,А130,1800,1600,2000,1,5.76,5.76,780.0,Фургон
453,data_for_algoritm_15451.json,"Напол-ль дктуал 365 ДНЕЙ древ 6,5л 4кг",470,220,100,7,0.0103,0.07,28.0,Европаллета
454,data_for_algoritm_11834.json,91,346,160,144,1,0.008,0.01,1.8,Европаллета
455,data_for_algoritm_15328.json,1.6,1400,1000,350,1,0.49,0.49,150.0,Европаллета
456,data_for_algoritm_16902.json,Напит ба ЧЕРНОГОЛОВКА Дюшес сгаз.2L,315,210,349,1,0.0231,0.02,12.0,Европаллета
457,data_for_algoritm_15483.json,А285,5040,2340,1260,1,14.8599,14.86,1000.0,Фургон
458,data_for_algoritm_15469.json,Сахар 1кг,400,250,140,12,0.014,0.17,120.36,Европаллета
459,data_for_algoritm_17219.json,25. (R13D) Упаковка подвесного потолка,1680,810,315,1,0.4287,0.43,60.0,Европаллета
460,data_for_algoritm_17091.json,Г,4300,1500,1300,3,8.385,25.16,2100.0,Фура 13.6 м
461,data_for_algoritm_15159.json,Корм дкош KITEKAT вк говяд в желе 85г,385,98,143,1,0.0054,0.01,1.0,Европаллета
462,data_for_algoritm_15503.json,А215,4500,900,1225,1,4.9612,4.96,377.0,Фургон
463,data_for_algoritm_15403.json,Лапша ЛЕНТА крахмальная Фунчоза 200г,380,253,237,1,0.0228,0.02,4.46,Европаллета
464,data_for_algoritm_17077.json,24.1. Упаковка зеркал,1200,1390,70,1,0.1168,0.12,30.0,Европаллета
465,data_for_algoritm_15406.json,Корм дкош WHISKAS микс сл.соус курут75,385,98,143,1,0.0054,0.01,2.33,Европаллета
466,data_for_algoritm_17091.json,Д,3750,750,500,3,1.4062,4.22,1710.0,Фургон
467,data_for_algoritm_17289.json,10,1750,1650,680,1,1.9635,1.96,510.0,Фургон
468,data_for_algoritm_16178.json,26300570 Connect Space bar 2450mm,2520,100,80,1,0.0202,0.02,11.0,Европаллета
469,data_for_algoritm_16959.json,п,530,600,170,1,0.0541,0.05,3.0,Европаллета
470,data_for_algoritm_17211.json,8. (R13D) Упаковка электропроводки №3,1290,530,660,1,0.4512,0.45,60.0,Европаллета
471,data_for_algoritm_16902.json,"Пр йогур НЕЖНЫЙ Легкий 0,1% сок перс 95г",400,260,70,1,0.0073,0.01,2.57,Европаллета
472,data_for_algoritm_16988.json,Коробы 3,580,350,170,3,0.0345,0.1,3.0,Европаллета
473,data_for_algoritm_15454.json,Дп пюре ФРУТОНЯНЯ яблчернпеченье 90г,415,75,185,1,0.0058,0.01,1.25,Европаллета
474,data_for_algoritm_17143.json,Арахис,280,240,165,27,0.0111,0.3,81.0,Европаллета
475,data_for_algoritm_17022.json,балясина 8,900,250,100,5,0.0225,0.11,5.0,Европаллета
476,data_for_algoritm_15567.json,Сливки BONVIDA стер пит порц 10% 1010г,350,210,113,1,0.0083,0.01,2.38,Европаллета
477,data_for_algoritm_15503.json,А183,3400,2200,1250,1,9.35,9.35,927.0,Фургон
478,data_for_algoritm_15828.json,JamLab 6C,520,290,290,9,0.0437,0.39,67.5,Европаллета
479,data_for_algoritm_17223.json,1,520,520,330,20,0.0892,1.78,34.0,Фургон
480,data_for_algoritm_17173.json,УПАКОВКА ГРУЗОВ ПРОТИВОВЕСА,800,1000,140,3,0.112,0.34,3000.0,Фургон
481,data_for_algoritm_15503.json,А52,1100,800,425,1,0.374,0.37,85.0,Европаллета
482,data_for_algoritm_15785.json,RM600AMKII-R,740.0,430.0,400.0,5.0,0.1273,0.64,91.0,Европаллета
483,data_for_algoritm_16954.json,КРАБ-Т 50 new,545,540,370,60,0.1089,6.53,606.0,Фургон
484,data_for_algoritm_15216.json,46,155,104,115,3,0.0019,0.01,1.58,Европаллета
485,data_for_algoritm_15950.json,4,2700,2300,2500,1,15.525,15.53,1.3,Фургон
486,data_for_algoritm_15489.json,А329,6320,3340,760,1,16.0427,16.04,2.96,Спецтранспорт
487,data_for_algoritm_15613.json,M300MKII,650,380,520,3,0.1284,0.39,88.5,Европаллета
488,data_for_algoritm_16328.json,лента,2300,1500,1300,1,4.485,4.49,600.0,Фургон
489,data_for_algoritm_16181.json,e,1380,920,770,4,0.9776,3.91,640.0,Фургон
490,data_for_algoritm_17366.json,Гофрокороб N9 (580х380х265),1326,966,2095,2,2.6835,5.37,500.0,Фургон
491,data_for_algoritm_15216.json,97,263,87,144,5,0.0033,0.02,2.51,Европаллета
492,data_for_algoritm_15435.json,Akusto™ Wall A Texona. Master B,2740,1230,2370,3,7.9874,23.96,4.08,Фура 13.6 м
493,data_for_algoritm_15452.json,Печенье ЮБИЛЕЙНОЕ Витам.традиционное268г,240,570,180,1,0.0246,0.02,7.03,Европаллета
494,data_for_algoritm_15489.json,А170,3050,3140,3150,1,30.1675,30.17,1.79,Спецтранспорт
495,data_for_algoritm_16792.json,10,1020,1320,1620,1,2.1812,2.18,322.0,Фургон
496,data_for_algoritm_15453.json,"Пиво св ОХОТА Крепкое паст8,1% ПЭТ 1.25L",250,250,340,1,0.0213,0.02,12.4,Европаллета
497,data_for_algoritm_15483.json,А205,3400,2150,1080,1,7.8948,7.89,1.27,Фургон
498,data_for_algoritm_15173.json,4,1150,550,770,1,0.487,0.49,27.0,Европаллета
499,data_for_algoritm_16899.json,Тараллини NINA FARINA классические180г,380,290,160,1,0.0176,0.02,4.77,Европаллета
500,data_for_algoritm_16881.json,А61,1200,1100,800,1,1.056,1.06,450.0,Европаллета
501,data_for_algoritm_16249.json,система для напольного,780,540,1205,1,0.5075,0.51,120.0,Европаллета
502,data_for_algoritm_17369.json,Гофрокороб N1 (600х380х500),1200,908,2095,3,2.2827,6.85,750.0,Фургон
503,data_for_algoritm_17096.json,Гидроаккумулятор ГПк 24,300,280,460,110,0.0386,4.25,495.0,Фургон
504,data_for_algoritm_16899.json,Шоколад MILKA с мол и карам нач300г,198,295,95,1,0.0055,0.01,4.08,Европаллета
505,data_for_algoritm_15161.json,1,1570,1050,1370,1,2.2584,2.26,231.0,Фургон
506,data_for_algoritm_15483.json,А88,1660,970,1660,1,2.6729,2.67,521.0,Фургон
507,data_for_algoritm_16900.json,Бумага туал PAPIA Сикрет Гарден 3-сл 8шт,780,400,190,1,0.0593,0.06,5.0,Европаллета
508,data_for_algoritm_16846.json,А64,1200,900,700,1,0.756,0.76,350.0,Европаллета
509,data_for_algoritm_14784.json,Колбаса любительская,400,200,200,16,0.016,0.26,160.0,Европаллета
