file,total_count,total_vol_m3,total_mass,missing_sizes,space_vol_m3,computed_fill_percent,flag
data_for_algoritm_15406.json,92,1.440875,297.215,0,91.63,1.572,LOW_FILL
data_for_algoritm_15407.json,78,10.7406,936.0,0,91.63,11.722,OK
data_for_algoritm_15408.json,172,39.0816,12744.0,0,91.63,42.652,OK
data_for_algoritm_15411.json,17,24.247,2772.0,0,91.63,26.462,OK
data_for_algoritm_15412.json,24,43.26575,6460.0,0,91.63,47.218,OK
data_for_algoritm_15421.json,39,26.94,10350.0,0,91.63,29.401,OK
data_for_algoritm_15428.json,240,55.08,7200.0,0,91.63,60.111,OK
data_for_algoritm_15429.json,240,55.08,7200.0,0,91.63,60.111,OK
data_for_algoritm_15432.json,10,45.032154,8811.2,0,91.63,49.146,OK
data_for_algoritm_15433.json,10,45.032154,8811.2,0,91.63,49.146,OK
data_for_algoritm_15435.json,10,45.032154,8811.2,0,91.63,49.146,OK
data_for_algoritm_15437.json,10,45.032154,8811.2,0,91.63,49.146,OK
data_for_algoritm_15440.json,9,13.647,2410.0,0,91.63,14.894,OK
data_for_algoritm_15442.json,9,13.647,2410.0,0,91.63,14.894,OK
data_for_algoritm_15443.json,9,13.647,2410.0,0,91.63,14.894,OK
data_for_algoritm_15444.json,16,20.8626,5530.0,0,91.63,22.768,OK
data_for_algoritm_15445.json,16,20.8626,5530.0,0,91.63,22.768,OK
data_for_algoritm_15449.json,9,4.90184,808.0,0,91.63,5.35,OK
data_for_algoritm_15450.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15451.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15452.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15453.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15454.json,82,1.11091,572.891,0,91.63,1.212,LOW_FILL
data_for_algoritm_15455.json,82,1.11091,572.891,0,91.63,1.212,LOW_FILL
data_for_algoritm_15456.json,82,1.11091,572.891,0,91.63,1.212,LOW_FILL
data_for_algoritm_15457.json,82,1.11091,572.891,0,91.63,1.212,LOW_FILL
data_for_algoritm_15458.json,82,1.11091,572.891,0,91.63,1.212,LOW_FILL
data_for_algoritm_15464.json,100,52.349634,7950.0,0,91.63,57.132,OK
data_for_algoritm_15466.json,100,52.349634,7950.0,0,91.63,57.132,OK
data_for_algoritm_15467.json,110,46.19307,7040.0,0,91.63,50.413,OK
data_for_algoritm_15469.json,59,1.124802,423.743,0,91.63,1.228,LOW_FILL
data_for_algoritm_15481.json,348,5270.842012,613366.0,0,91.63,5752.31,OK
data_for_algoritm_15482.json,59,1.124802,423.743,0,91.63,1.228,LOW_FILL
data_for_algoritm_15483.json,348,5270.842012,613366.0,0,91.63,5752.31,OK
data_for_algoritm_15485.json,240,55.08,7200.0,0,91.63,60.111,OK
data_for_algoritm_15486.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15487.json,73,1.107073,519.026,0,91.63,1.208,LOW_FILL
data_for_algoritm_15489.json,88,3873.841911,413907.0,0,91.63,4227.7,OK
data_for_algoritm_15490.json,4,15.5904,1500.0,0,91.63,17.015,OK
data_for_algoritm_15503.json,222,728.125125,119970.0,0,91.63,794.636,OK
data_for_algoritm_15504.json,505,6.57,1370.0,0,91.63,7.17,OK
data_for_algoritm_15508.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15509.json,19,2.516449,296.3,0,91.63,2.746,LOW_FILL
data_for_algoritm_15510.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15515.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15518.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15519.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15523.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15529.json,18,2.464313,286.8,0,91.63,2.689,LOW_FILL
data_for_algoritm_15530.json,19,2.516449,296.3,0,91.63,2.746,LOW_FILL
data_for_algoritm_15535.json,85,11.555918,1598.3,0,91.63,12.612,OK
data_for_algoritm_15536.json,85,11.555918,1598.3,0,91.63,12.612,OK
data_for_algoritm_15537.json,85,11.555918,1598.3,0,91.63,12.612,OK
data_for_algoritm_15543.json,10,2.88,10.0,0,91.63,3.143,LOW_FILL
data_for_algoritm_15545.json,17,71.576154,8968.7,0,91.63,78.114,OK
